masterParentCode	termExtendedName	termScopeNote	scientificNames
A134X	Acanthus mollis L. (as plant)	Live plant organism of the taxoconomic group Acanthus mollis L.. The group is relevant for the list of Botanicals. The plant is a member of the family Acanthaceae. The part considered is by default the whole living organism.£http://www.theplantlist.org/tpl1.1/search?q=Acanthus mollis	Acanthus mollis L.$Aca
A134X	Blepharis capensis (L.f.) Pers. (as plant)	Live plant organism of the taxoconomic group Blepharis capensis (L.f.) Pers.. The group is relevant for the list of Botanicals. The plant is a member of the family Acanthaceae. The part considered is by default the whole living organism.£http://www.theplantlist.org/tpl1.1/search?q=Blepharis capensis	Blepharis capensis (L.f.) Pers.
A134X	Strobilanthes ciliata Nees (as plant)	Live plant organism of the taxoconomic group Strobilanthes ciliata Nees. The group is relevant for the list of Botanicals. The plant is a member of the family Acanthaceae. The part considered is by default the whole living organism.£http://www.theplantlist.org/tpl1.1/search?q=Strobilanthes ciliata	Strobilanthes ciliata Nees$Nilgirianthus ciliatus (Nees) Bremek.
A135B	Adiantum capillus-veneris L. (as plant)	Live plant organism of the taxoconomic group Adiantum capillus-veneris L.. The group is relevant for the list of Botanicals. The plant is a member of the family Adiantaceae (Pteridaceae). The part considered is by default the whole living organism.£http://www.theplantlist.org/tpl1.1/search?q=Adiantum capillus-veneris	Adiantum capillus-veneris L.
A135E	Delosperma cooperi (Hook.f.) L.Bolus (as plant)	Live plant organism of the taxoconomic group Delosperma cooperi (Hook.f.) L.Bolus. The group is relevant for the list of Botanicals. The plant is a member of the family Aizoaceae. The part considered is by default the whole living organism.£http://www.theplantlist.org/tpl1.1/search?q=Delosperma cooperi	Delosperma cooperi (Hook.f.) L.Bolus
A135E	Delosperma lebomboense (L.Bolus) Lavis (as plant)	Live plant organism of the taxoconomic group Delosperma lebomboense (L.Bolus) Lavis. The group is relevant for the list of Botanicals. The plant is a member of the family Aizoaceae. The part considered is by default the whole living organism.£http://www.theplantlist.org/tpl1.1/search?q=Delosperma lebomboense	Delosperma lebomboense (L.Bolus) Lavis
A135E	Delosperma minimum Lavis (as plant)	Live plant organism of the taxoconomic group Delosperma minimum Lavis. The group is relevant for the list of Botanicals. The plant is a member of the family Aizoaceae. The part considered is by default the whole living organism.£http://www.theplantlist.org/tpl1.1/search?q=Delosperma minimum	Delosperma minimum Lavis
A135E	Delosperma obtusum L.Bolus (as plant)	Live plant organism of the taxoconomic group Delosperma obtusum L.Bolus. The group is relevant for the list of Botanicals. The plant is a member of the family Aizoaceae. The part considered is by default the whole living organism.£http://www.theplantlist.org/tpl1.1/search?q=Delosperma obtusum	Delosperma obtusum L.Bolus
A135E	Delosperma pottsii (L.Bolus) L.Bolus (as plant)	Live plant organism of the taxoconomic group Delosperma pottsii (L.Bolus) L.Bolus. The group is relevant for the list of Botanicals. The plant is a member of the family Aizoaceae. The part considered is by default the whole living organism.£http://www.theplantlist.org/tpl1.1/search?q=Delosperma pottsii	Delosperma pottsii (L.Bolus) L.Bolus
A13EL	Guaiacum sanctum L. (as plant)	Live plant organism of the taxoconomic group Guaiacum sanctum L.. The group is relevant for the list of Botanicals. The plant is a member of the family Zygophyllaceae. The part considered is by default the whole living organism.£http://www.theplantlist.org/tpl1.1/search?q=Guaiacum sanctum	Guaiacum sanctum L.
