Level;name;code;allfacet
1;BEER AND BEER-LIKE BEVERAGE -/- Not in list -/- Organic production -/- Glass -/- Production of alcoholic beverages -/- Beer and beer-like beverage;A03MB#F19.A07PF$F21.A07SE;A03MB#F02.A0ENH$F28.A0C01
1;BEER AND BEER-LIKE BEVERAGE -/- Not in list -/- Non-organic production -/- Glass -/- Production of alcoholic beverages -/- Beer and beer-like beverage;A03MA#F19.A07PF;A03MA
1;WINE, RED -/- Not in list -/- -/- -/- Wine production - red wine cold process -/- Wine, red;A03MX;A03MX#F02.A0ENK$F10.A0F2S$F27.A01DY$F28.A0C00
1;WINE, WHITE -/- Not in list -/- -/- -/- Wine production - white wine -/- Wine, white;A03MV;A03MV#F02.A0ENK$F10.A0F2R$F27.A01DY$F28.A0C00
1;WINE WHITE -/- Not in list -/- Non-organic production -/- Glass -/- Wine production - white wine -/- Wine, white;A03MV#F19.A07PF;A03MV#F02.A0ENK$F10.A0F2R$F27.A01DY$F28.A0C00
1;CIDER -/- Not in list -/- -/- -/- Wine production - white wine -/- Cider;A03ND;A03ND#F02.A0ENL$F27.A01DJ$F28.A0C00
1;CIDRE DEMI-SEC -/- Not in list -/- Non-organic production -/- No information -/- Production of alcoholic beverages -/- Cider;A03ND;A03ND#F02.A0ENL$F27.A01DJ$F28.A0C00
1;CIDRE, MOUSSIEREND - HERB - FRISCH -/- Not in list -/- Non-organic production -/- No information -/- Production of alcoholic beverages -/- Cider;A03ND;A03ND#F02.A0ENL$F27.A01DJ$F28.A0C00
1;ANIMAL FAT -/- Not in list -/- -/- -/- Processed -/- Animal fat;A037T;A037T#F02.A06AR$F28.A0C02
1;BUTTER -/- Not in list -/- -/- Combined material -/- Processed -/- 10493870 -/- Butter;A039C;A039C#F02.A06BE$F27.A02LV$F28.A07MH
1;CHICKEN FAT -/- Not in list -/- -/- -/- Processed -/- Chicken fat;A038F;A038F#F02.A06AR$F27.A01VR$F28.A0C02
1;PORK LARD (SCHMALTZ) -/- Not in list -/- -/- -/- Processed -/- Pork lard (Schmaltz);A037V;A037V#F02.A06AR$F27.A01VA$F28.A0C02
1;FISH OIL -/- Not in list -/- -/- -/- Unprocessed -/- Fish oil;A038M;A038M#F02.A06AR$F28.A0C02
1;KRILL OIL -/- Not in list -/- -/- -/- Unprocessed -/- Fish oil;A038M#F27.A02FM;A038M#F02.A06AR$F28.A0C02
1;MARGARINE -/- Not in list -/- -/- Combined aluminium and film packaging -/- Processed -/- 10493870 -/- Margarine and similar products;A039D#F19.A07PM;A039D#F02.A0ENG
1;PEANUTS BUTTER -/- Not in list -/- Organic production -/- Packed -/- Processed -/- Peanuts butter;A01BN#F21.A07SE;A01BN#F02.A068L$F27.A012P$F28.A0C6N
1;PEANUTS BUTTER -/- Not in list -/- Non-organic production -/- Packed -/- Processed -/- Peanuts butter;A01BN;A01BN#F02.A068L$F27.A012P$F28.A0C6N
1;PALM OIL -/- Not in list -/- -/- -/- Oil production - refined oils -/- Palm oil;A037N;A037N#F02.A068M$F27.A016P$F28.A0C02
1;RAPESEED OIL -/- Not in list -/- -/- -/- Processed -/- Rapeseed oil;A036V;A036V#F02.A068M$F27.A015M$F28.A0C02
1;SAFFLOWER OIL -/- Not in list -/- -/- -/- Oil production - refined oils -/- Safflower oil;A037B#F10.A07XK;A037B#F02.A068M$F27.A015Y$F28.A0C02
1;SAFFLOWER OIL -/- Not in list -/- -/- -/- Oil production -/- Safflower oil;A037B;A037B#F02.A068M$F27.A015Y$F28.A0C02
1;SAFFLOWER OIL -/- Not in list -/- -/- -/- Oil production - Virgin oil after cold press -/- Safflower oil;A037B#F28.A0C06;A037B#F02.A068M$F27.A015Y$F28.A0C02
1;SOYBEAN OIL -/- Not in list -/- -/- -/- Oil production -/- -/- Soybean oil;A036X;A036X#F02.A068M$F27.A015P$F28.A0C02
1;SUNFLOWER OIL -/- Not in list -/- -/- -/- Oil production -/- -/- Sunflower oil;A037D;A037D#F02.A068M$F27.A015L$F28.A0C02
1;VEGETABLE OIL -/- Not in list -/- -/- -/- Oil production -/- -/- Vegetable oil;A036N;A036N#F02.A068M
1;BARLEY -/- Not in list -/- -/- -/- Unprocessed -/- Barley;A05CR;A05CR
1;BARLEY -/- Not in list -/- -/- -/- Milling - unprocessed flour -/- Barley;A0BBE;A0BBE
1;BARLEY -/- Not in list -/- -/- -/- Unprocessed -/- Barley;A05CR;A05CR
1;BARLEY MIDDLINGS -/- Not in list -/- -/- -/- Milling -/- Barley middlings;A0BBE;A0BBE
1;BARLEY MIDDLINGS -/- Not in list -/- -/- -/- Milling - unprocessed flour -/- Barley middlings;A0BBE;A0BBE
1;MAIZE -/- Not in list -/- -/- -/- Unprocessed -/- Maize;A07XG;A07XG
1;MAIZE -/- Not in list -/- -/- -/- Milling - unprocessed flour -/- Maize;A0BBT;A0BBT
1;MAIZE -/- Not in list -/- -/- -/- Processed -/- Maize;A07XG;A07XG
1;MAIZE BRAN -/- Not in list -/- -/- -/- Processed -/- Maize bran;A0BBV;A0BBV
1;MAIZE FLAKES -/- Not in list -/- -/- -/- Processed -/- Maize flakes;A0EFQ;A0EFQ
1;MAIZE FLAKES -/- Not in list -/- -/- -/- Crushing -/- Maize flakes;A0EFQ#F28.A07LA;A0EFQ
1;MAIZE GERM EXPELLER -/- Not in list -/- -/- -/- Processed -/- Maize germ expeller;A0BC2;A0BC2
1;MAIZE GLUTEN -/- Not in list -/- -/- -/- Processed -/- Maize gluten;A0BC0;A0BC0
1;MAIZE GLUTEN -/- Not in list -/- -/- -/- Wet-milling -/- Maize gluten;A0BC0;A0BC0
1;MAIZE GLUTEN FEED -/- Not in list -/- -/- -/- Processed -/- Maize gluten feed;A0BC1;A0BC1
1;MAIZE MIDDLINGS -/- Not in list -/- -/- -/- Milling -/- Maize middlings;A0BBT;A0BBT
1;MAIZE MIDDLINGS -/- Not in list -/- -/- -/- Milling - unprocessed flour -/- Maize middlings;A0BBT;A0BBT
1;MAIZE MIDDLINGS -/- Not in list -/- -/- -/- Processed -/- Maize middlings;A0BBT;A0BBT
1;MILLET -/- Not in list -/- -/- -/- Unprocessed -/- Millet;A05DZ;A05DZ
1;GRAIN FLOUR -/- Not in list -/- -/- -/- Milling -/- Grain flour;A0EGB;A0EGB
1;MIXED GRAINS -/- Not in list -/- -/- -/- Unprocessed -/- Mixed grains;A0BBA;A0BBA
1;MIXED GRAINS -/- Not in list -/- -/- -/- Milling - unprocessed flour -/- Mixed grains;A0BBA;A0BBA
