level;Pick list elements;pick list code
1;Feed,  SOURCE=Ullucu (live plants);A0BB9#F01.A05JY
1;Food,  SOURCE=Amaranth (live plants),  RACSOURCE=Stems/stalks eaten as vegetables,  RACSOURCE=Legumes with pod;A0B6Z#F01.A059A$F27.A00RR$F27.A00PB
1;Barley, roasted (feed),  SOURCE=Animals (live animals),  PROCESS=Thermal treatment (heating for preservation),  PROCESS=Cooking and similar thermal preparation processes;A0BBB#F01.A04SF$F28.A07HR$F28.A0BA1
1;Mammals and birds meat and products thereof,  SOURCE=Animals (live animals),  RACSOURCE=Baby leaf crops (including brassica species) and similar-,  PROCESS=Preservation treatments not changing nature,  LEGIS=Acrylamide classes (307/2010 - 647/2013);A0EZS#F01.A04SF$F27.A00MA$F28.A0BYG$F33.A167B
1;Feed,  SOURCE=Microbiological cultures (live organisms);A0BB9#F01.A066H
1;Tomato puree,  PROCESS=Concentration / evaporation;A00ZD#F28.A07KF
1;All Lists,  PART-NATURE=Plant commodities-related (as part-nature),  PROCESS=Thermal treatment (heating for preservation),  PROCESS=Modification with chemical and biological agents;A0C5X#F02.A066M$F28.A07HR$F28.A07JL
1;Italian corn salads,  PHYSICAL-STATE=Semisolid-semiliquid,  INGRED=Grains and grain-based products;A00KV#F03.A06JK$F04.A000J
1;Aromatic herbs,  PHYSICAL-STATE=Semisolid-semiliquid,  INGRED=Grains and grain-based products,  INGRED=Starchy roots and tubers,  INGRED=Oilseeds and oilfruits,  INGRED=Eggs and egg products,  INGRED=Hot drinks and similar (coffee, cocoa, tea and herbal infusions);A04MA#F03.A06JK$F04.A000J$F04.A00ZS$F04.A015E$F04.A031E$F04.A03JZ
1;All Lists,  PROCESS=Acidifying,  PROCESS=Alkalizing;A0C5X#F28.A07JM$F28.A07LQ
1;All Lists,  PROCESS=Thermal treatment (heating for preservation),  PROCESS=Low pasteurisation (thermisation);A0C5X#F28.A07HR$F28.A07HT
1;Lettuces and similar-,  PHYSICAL-STATE=Semisolid-semiliquid;A0DLB#F03.A06JK
1;Italian corn salads,  PROCESS=Drying (dehydration);A00KV#F28.A07KG
1;Smoked fish,  PROCESS=Canning / jarring;A0EYS#F28.A0BYP
1;Processed tomato products,  SOURCE=Animals (live animals),  SOURCE-COMMODITIES=Plum tomato,  SOURCE-COMMODITIES=Stems/stalks eaten as vegetables,  SOURCE-COMMODITIES=Apricot kernels;A04MB#F01.A04SF$F27.A00HT$F27.A00RR$F27.A0CFE
